"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18","pods_per_ped"
"80","MW046","2019",1.33333333333333,58.3143855323293,"Rural",9.2,112.6,6000,31,115.2,6.8,6.8,5,-2.26854,9.73684523809524,193.548387096774,0.739130434782609
"81","MW047","2018",NA,33.4685354488643,"Rural",9.8,85.6,2000,21,85.6,4,4,5,-2.66342,NA,95.2380952380952,0.408163265306122
"82","MW047","2019",NA,33.4685354488643,"Rural",NA,NA,2000,21,NA,NA,0,5,-2.66342,NA,95.2380952380952,NA
"83","MW049","2018",2.1,31.4318593230486,"South",12,93.8,40,39,93.8,8.8,8.8,5,0.2286,NA,1.02564102564103,0.733333333333333
"84","MW049","2019",0.9,31.4318593230486,"South",11,119.4,40,39,113,5.6,6.8,5,0.2286,8.43428571428571,1.02564102564103,0.618181818181818
"85","MW050","2018",2.66666666666667,30.6085218198681,"South",NA,NA,1000,37,NA,NA,NA,5,0.92133,NA,27.027027027027,NA
"86","MW050","2019",0.666666666666667,30.6085218198681,"South",NA,92.8,1000,37,NA,NA,0,5,0.92133,NA,27.027027027027,NA
"87","MW051","2018",NA,3.69260866191731,"South",11.8,101.4,900,22,101.4,4.4,4.4,5,2.67139,NA,40.9090909090909,0.372881355932203
"88","MW051","2019",0.866666666666667,3.69260866191731,"South",7.6,115.9,900,22,124.2,0.2,0.2,5,2.67139,NA,40.9090909090909,0.0263157894736842
"89","MW052","2018",NA,3.65354406837996,"South",NA,NA,1,17,NA,NA,NA,2,0.342993,NA,0.0588235294117647,NA
"90","MW052","2019",0.25,3.65354406837996,"South",NA,103.75,1,17,NA,NA,0,2,0.342993,NA,0.0588235294117647,NA
"91","MW056","2018",NA,5.98740587556773,"South",10.5,82.25,1600,26,82.25,7.5,7.5,5,2.24942,NA,61.5384615384615,0.714285714285714
"92","MW056","2019",0.666666666666667,5.98740587556773,"South",10.6,94.46,1600,26,106.2,12,15.6,5,2.24942,8.99452380952381,61.5384615384615,1.47169811320755
"93","MW057","2018",NA,6.72234816456428,"South",7.8,87.2,30000,13,87.2,6,6,5,2.71762,NA,2307.69230769231,0.769230769230769
"94","MW057","2019",1.6,6.72234816456428,"South",8.2,101.24,30000,13,98,6.2,7.2,5,2.71762,8.69819047619048,2307.69230769231,0.878048780487805
"95","MW059","2018",NA,8.32997475936821,"South",2,77,250,28,77,1,1,5,2.36447,NA,8.92857142857143,0.5
"96","MW059","2019",1.1,8.32997475936821,"South",1,108.8,250,28,56.8,0,0,5,2.36447,NA,8.92857142857143,0
"97","MW061","2018",0.333333333333333,18.2525904969498,"North",8,82.8,9000,23,82.8,3.6,3.6,5,0.644411,NA,391.304347826087,0.45
"98","MW061","2019",0.355555555555556,18.2525904969498,"North",9.6,101.8,9000,23,103.6,5,6.6,5,0.644411,9.672,391.304347826087,0.6875
"99","MW062","2018",1.06666666666667,19.0938744133194,"North",8.2,108.2,6000,3,108.2,3,3,5,0.697666,NA,2000,0.365853658536585
"100","MW062","2019",0.8,19.0938744133194,"North",9.4,130.6,6000,3,133.8,5,5,5,0.697666,9.16952380952381,2000,0.531914893617021
"101","MW064","2018",0.166666666666667,22.0533186692026,"North",9.6,86,1250,19,86,4.2,4.2,5,1.05287,NA,65.7894736842105,0.4375
"102","MW064","2019",0.466666666666667,22.0533186692026,"North",9.8,111,1250,19,94.4,6,6.6,5,1.05287,8.09019607843137,65.7894736842105,0.673469387755102
"103","MW066","2018",1.76388888888889,26.18012867645,"North",NA,NA,20000,36,NA,NA,NA,5,2.15347,NA,555.555555555556,NA
"104","MW066","2019",0.711111111111111,26.18012867645,"North",10.6,91.2,20000,36,95.6,6.2,6.8,5,2.15347,8.40909090909091,555.555555555556,0.641509433962264
"105","MW067","2018",NA,26.6125138912041,"North",NA,NA,64,20,NA,NA,NA,5,3.37284,NA,3.2,NA
"106","MW067","2019",0.703703703703704,26.6125138912041,"North",NA,125,64,20,NA,NA,0,5,3.37284,NA,3.2,NA
