Picture_name;Cells_where_building_label=2;Cells_where_vegetation_label=2;Cells_where_road_label=1;Avg_building_labels;Avg_vegetation_labels;PCA_value;Location_name
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\71\01.bmp;76;12;86;1.65;1.11;2.33711;AS071
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\72\01.bmp;79;13;86;1.68;1.13;2.36447;AS072
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\73\01.bmp;72;13;85;1.64;1.13;2.21586;AS073
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\74\01.bmp;38;35;73;1.22;1.34;0.644411;AS074
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\75\01.bmp;46;27;55;1.15;1.22;0.697666;AS075
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\76\01.bmp;40;44;79;1.37;1.44;0.627215;AS076
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\77\01.bmp;50;33;81;1.26;1.3;1.05287;AS077
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\78\01.bmp;60;14;92;1.47;1.14;1.99176;AS078
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\79\01.bmp;70;17;84;1.62;1.09;2.15347;AS079
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\8\01.bmp;23;66;45;0.83;1.66;-1.13402;AS008
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\80\01.bmp;91;4;97;1.9;0.84;3.37284;AS080
