Patch_ID,Pop_ID,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Reference_lat,Reference_long
AS033,MW020,43.387612,-79.959232,Rural,34.41,,
AS033,MW020,43.387612,-79.959232,Rural,34.41,,
AS033,MW020,43.387612,-79.959232,Rural,34.41,,
AS033,MW020,43.387612,-79.959232,Rural,34.41,,
AS033,MW020,43.387612,-79.959232,Rural,34.41,,
AS034,MW021,43.399222,-79.930576,Rural,32.77,,
AS034,MW021,43.399222,-79.930576,Rural,32.77,,
AS034,MW021,43.399222,-79.930576,Rural,32.77,,
AS034,MW021,43.399222,-79.930576,Rural,32.77,,
AS034,MW021,43.399222,-79.930576,Rural,32.77,,
AS035,MW022,43.377146,-79.973861,Rural,35.42,,
AS035,MW022,43.377146,-79.973861,Rural,35.42,,
AS035,MW022,43.377146,-79.973861,Rural,35.42,,
AS035,MW022,43.377146,-79.973861,Rural,35.42,,
AS035,MW022,43.377146,-79.973861,Rural,35.42,,
AS036,MW023,43.371308,-79.981819,Rural,35.98,,
AS036,MW023,43.371308,-79.981819,Rural,35.98,,
AS036,MW023,43.371308,-79.981819,Rural,35.98,,
AS036,MW023,43.371308,-79.981819,Rural,35.98,,
AS036,MW023,43.371308,-79.981819,Rural,35.98,,
AS037,MW024,43.363349,-80.01471,Rural,37.66,,
AS037,MW024,43.363349,-80.01471,Rural,37.66,,
AS038,MW025,43.726774,-79.432109,North,5.5,,
AS038,MW025,43.726774,-79.432109,North,5.5,,
AS038,MW025,43.726774,-79.432109,North,5.5,,
AS038,MW025,43.726774,-79.432109,North,5.5,,
AS038,MW025,43.726774,-79.432109,North,5.5,,
AS039,MW026,43.719453,-79.445163,North,5.42,,
AS039,MW026,43.719453,-79.445163,North,5.42,,
AS039,MW026,43.719453,-79.445163,North,5.42,,
AS039,MW026,43.719453,-79.445163,North,5.42,,
AS039,MW026,43.719453,-79.445163,North,5.42,,
AS040,MW027,43.726466,-79.445593,North,5.82,,
AS040,MW027,43.726466,-79.445593,North,5.82,,
AS040,MW027,43.726466,-79.445593,North,5.82,,
AS040,MW027,43.726466,-79.445593,North,5.82,,
AS040,MW027,43.726466,-79.445593,North,5.82,,
AS041,MW028,43.713472,-79.463271,North,5.7,,
AS041,MW028,43.713472,-79.463271,North,5.7,,
AS041,MW028,43.713472,-79.463271,North,5.7,,
AS041,MW028,43.713472,-79.463271,North,5.7,,
AS041,MW028,43.713472,-79.463271,North,5.7,,
AS042,MW029,43.713584,-79.475768,North,6.17,,
AS042,MW029,43.713584,-79.475768,North,6.17,,
AS042,MW029,43.713584,-79.475768,North,6.17,,
AS042,MW029,43.713584,-79.475768,North,6.17,,
AS042,MW029,43.713584,-79.475768,North,6.17,,
AS043,MW030,43.71387,-79.505919,North,7.4,,
AS043,MW030,43.71387,-79.505919,North,7.4,,
AS043,MW030,43.71387,-79.505919,North,7.4,,
AS043,MW030,43.71387,-79.505919,North,7.4,,
AS043,MW030,43.71387,-79.505919,North,7.4,,
AS044,MW031,43.713092,-79.515599,North,7.79,,
AS044,MW031,43.713092,-79.515599,North,7.79,,
AS044,MW031,43.713092,-79.515599,North,7.79,,
AS044,MW031,43.713092,-79.515599,North,7.79,,
AS044,MW031,43.713092,-79.515599,North,7.79,,
AS045,MW032,43.66963,-79.498027,South,5.93,,
AS045,MW032,43.66963,-79.498027,South,5.93,,
AS045,MW032,43.66963,-79.498027,South,5.93,,
AS045,MW032,43.66963,-79.498027,South,5.93,,
AS045,MW032,43.66963,-79.498027,South,5.93,,
AS046,MW033,43.358912,-80.043033,Rural,39.03,,
AS046,MW033,43.358912,-80.043033,Rural,39.03,,
AS046,MW033,43.358912,-80.043033,Rural,39.03,,
AS046,MW033,43.358912,-80.043033,Rural,39.03,,
AS046,MW033,43.358912,-80.043033,Rural,39.03,,
AS047,MW034,43.357422,-80.052572,Rural,39.49,,
AS047,MW034,43.357422,-80.052572,Rural,39.49,,
AS047,MW034,43.357422,-80.052572,Rural,39.49,,
AS047,MW034,43.357422,-80.052572,Rural,39.49,,
AS047,MW034,43.357422,-80.052572,Rural,39.49,,
AS048,MW035,43.349551,-80.098407,Rural,41.74,,
AS048,MW035,43.349551,-80.098407,Rural,41.74,,
AS048,MW035,43.349551,-80.098407,Rural,41.74,,
AS048,MW035,43.349551,-80.098407,Rural,41.74,,
AS048,MW035,43.349551,-80.098407,Rural,41.74,,
AS049,MW036,43.321018,-80.049313,Rural,40.74,,
AS049,MW036,43.321018,-80.049313,Rural,40.74,,
AS049,MW036,43.321018,-80.049313,Rural,40.74,,
AS049,MW036,43.321018,-80.049313,Rural,40.74,,
AS049,MW036,43.321018,-80.049313,Rural,40.74,,
AS050,MW037,43.702158,-79.543737,North,8.73,,
AS050,MW037,43.702158,-79.543737,North,8.73,,
AS050,MW037,43.702158,-79.543737,North,8.73,,
AS050,MW037,43.702158,-79.543737,North,8.73,,
AS050,MW037,43.702158,-79.543737,North,8.73,,
AS051,MW038,43.701032,-79.549473,North,8.97,,
AS051,MW038,43.701032,-79.549473,North,8.97,,
AS051,MW038,43.701032,-79.549473,North,8.97,,
AS051,MW038,43.701032,-79.549473,North,8.97,,
AS051,MW038,43.701032,-79.549473,North,8.97,,
AS052,MW039,43.701432,-79.56251,North,9.6,,
AS052,MW039,43.701432,-79.56251,North,9.6,,
AS052,MW039,43.701432,-79.56251,North,9.6,,
AS052,MW039,43.701432,-79.56251,North,9.6,,
AS052,MW039,43.701432,-79.56251,North,9.6,,
AS053,MW040,43.690086,-79.572325,North,9.85,,
AS053,MW040,43.690086,-79.572325,North,9.85,,
AS053,MW040,43.690086,-79.572325,North,9.85,,
AS053,MW040,43.690086,-79.572325,North,9.85,,
AS053,MW040,43.690086,-79.572325,North,9.85,,
AS054,MW041,43.675131,-79.571575,North,9.62,,
AS054,MW041,43.675131,-79.571575,North,9.62,,
AS054,MW041,43.675131,-79.571575,North,9.62,,
AS054,MW041,43.675131,-79.571575,North,9.62,,
AS054,MW041,43.675131,-79.571575,North,9.62,,
AS055,MW042,43.664067,-79.577284,North,9.83,,
AS055,MW042,43.664067,-79.577284,North,9.83,,
AS055,MW042,43.664067,-79.577284,North,9.83,,
AS055,MW042,43.664067,-79.577284,North,9.83,,
AS055,MW042,43.664067,-79.577284,North,9.83,,
AS056,MW043,43.32296,-80.038276,Rural,40.2,,
AS056,MW043,43.32296,-80.038276,Rural,40.2,,
AS056,MW043,43.32296,-80.038276,Rural,40.2,,
AS056,MW043,43.32296,-80.038276,Rural,40.2,,
AS056,MW043,43.32296,-80.038276,Rural,40.2,,
AS057,MW044,43.330042,-79.995566,Rural,38.18,,
AS057,MW044,43.330042,-79.995566,Rural,38.18,,
AS057,MW044,43.330042,-79.995566,Rural,38.18,,
AS057,MW044,43.330042,-79.995566,Rural,38.18,,
AS057,MW044,43.330042,-79.995566,Rural,38.18,,
AS058,MW045,43.335538,-79.962974,Rural,36.64,,
AS058,MW045,43.335538,-79.962974,Rural,36.64,,
AS058,MW045,43.335538,-79.962974,Rural,36.64,,
AS058,MW045,43.335538,-79.962974,Rural,36.64,,
AS058,MW045,43.335538,-79.962974,Rural,36.64,,
AS059,MW046,43.343046,-79.959704,Rural,36.19,,
AS059,MW046,43.343046,-79.959704,Rural,36.19,,
AS059,MW046,43.343046,-79.959704,Rural,36.19,,
AS059,MW046,43.343046,-79.959704,Rural,36.19,,
AS059,MW046,43.343046,-79.959704,Rural,36.19,,
AS060,MW047,43.519441,-79.750471,Rural,20.77,,
AS060,MW047,43.519441,-79.750471,Rural,20.77,,
AS060,MW047,43.519441,-79.750471,Rural,20.77,,
AS060,MW047,43.519441,-79.750471,Rural,20.77,,
AS060,MW047,43.519441,-79.750471,Rural,20.77,,
AS061,MW048,43.530493,-79.738194,Rural,19.88,,
AS062,MW049,43.534939,-79.732912,South,19.51,,
AS062,MW049,43.534939,-79.732912,South,19.51,,
AS062,MW049,43.534939,-79.732912,South,19.51,,
AS062,MW049,43.534939,-79.732912,South,19.51,,
AS062,MW049,43.534939,-79.732912,South,19.51,,
AS063,MW050,43.535065,-79.721652,South,19,,
AS063,MW050,43.535065,-79.721652,South,19,,
AS063,MW050,43.535065,-79.721652,South,19,,
AS063,MW050,43.535065,-79.721652,South,19,,
AS063,MW050,43.535065,-79.721652,South,19,,
AS064,MW051,43.669676,-79.422881,South,2.29,,
AS064,MW051,43.669676,-79.422881,South,2.29,,
AS064,MW051,43.669676,-79.422881,South,2.29,,
AS064,MW051,43.669676,-79.422881,South,2.29,,
AS064,MW051,43.669676,-79.422881,South,2.29,,
AS065,MW052,43.680726,-79.411251,South,2.27,,
AS065,MW052,43.680726,-79.411251,South,2.27,,
AS066,MW053,43.691138,-79.427943,South,3.36,,
AS066,MW053,43.691138,-79.427943,South,3.36,,
AS066,MW053,43.691138,-79.427943,South,3.36,,
AS066,MW053,43.691138,-79.427943,South,3.36,,
AS066,MW053,43.691138,-79.427943,South,3.36,,
AS067,MW054,43.67876,-79.431977,South,2.99,,
AS067,MW054,43.67876,-79.431977,South,2.99,,
AS067,MW054,43.67876,-79.431977,South,2.99,,
AS067,MW054,43.67876,-79.431977,South,2.99,,
AS067,MW054,43.67876,-79.431977,South,2.99,,
AS068,MW055,43.674579,-79.446438,South,3.51,,
AS068,MW055,43.674579,-79.446438,South,3.51,,
AS068,MW055,43.674579,-79.446438,South,3.51,,
AS068,MW055,43.674579,-79.446438,South,3.51,,
AS068,MW055,43.674579,-79.446438,South,3.51,,
AS069,MW056,43.671068,-79.452408,South,3.72,,
AS069,MW056,43.671068,-79.452408,South,3.72,,
AS069,MW056,43.671068,-79.452408,South,3.72,,
AS069,MW056,43.671068,-79.452408,South,3.72,,
