Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Average_Pollinia,Area_sq_m,Plants_present,Weevil_attack_Eggs,NLCD,Notes,Pop_Age_Stage,Pods_Seen,Date_Found,Date_Found_365,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Date_Revisited,Date_Revisited_365,Height_cm,Pods,Peduncles,Leaf_coll,Leaf_coll_binary,Seeds_coll,Seeds_coll_binary,Notes
AS011,MW005,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,"Y, eggs","Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",NA,NA,7/10/2018,191,43.493262,-79.747925,South,21.55,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",NA,NA,7/10/2018,191,43.493262,-79.747925,South,21.55,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",NA,NA,7/10/2018,191,43.493262,-79.747925,South,21.55,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,1,0,0,1,0,0,1,1,0,0,0.33,30,30,Y,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.492717,-79.748081,South,21.58,9/14/2018,257,114,5,9,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,2,2,2,2,3,1,0,1,1,0,1.33,30,30,Y,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.492717,-79.748081,South,21.58,9/14/2018,257,101,6,3,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,3,0,0,0,0,0,0,NA,NA,NA,0,30,30,"Y, eggs","Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.492717,-79.748081,South,21.58,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,4,0,4,1,0,0,1,2,1,1,1.11,30,30,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.492717,-79.748081,South,21.58,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,5,4,4,0,5,3,2,0,3,0,2.33,30,30,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.492717,-79.748081,South,21.58,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,1,0,0,0,0,0,0,0,0,1,0.11,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,NA,NA,7/10/2018,191,43.492005,-79.749026,South,21.64,9/14/2018,257,127,4,5,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,2,0,2,0,0,1,1,NA,NA,NA,0.67,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,NA,NA,7/10/2018,191,43.492005,-79.749026,South,21.64,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,NA,NA,7/10/2018,191,43.492005,-79.749026,South,21.64,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,NA,NA,7/10/2018,191,43.492005,-79.749026,South,21.64,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,5,1,0,0,0,0,0,1,1,0,0.33,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,NA,NA,7/10/2018,191,43.492005,-79.749026,South,21.64,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS014,MW006,1,0,0,0,0,1,2,1,0,0,0.44,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,NA,NA,7/10/2018,191,43.438669,-79.780878,South,25.05,9/14/2018,257,87,4,3,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,2,0,0,0,0,0,0,0,0,0,0,300,100,Y,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,NA,NA,7/10/2018,191,43.438669,-79.780878,South,25.05,9/14/2018,257,112,2,4,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,3,0,1,1,0,3,1,NA,NA,NA,1,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,NA,NA,7/10/2018,191,43.438669,-79.780878,South,25.05,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,4,0,1,0,2,2,2,0,3,2,1.33,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,NA,NA,7/10/2018,191,43.438669,-79.780878,South,25.05,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,5,0,0,0,0,0,0,NA,NA,NA,0,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,NA,NA,7/10/2018,191,43.438669,-79.780878,South,25.05,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS015,MW006,1,2,5,5,4,4,2,NA,NA,NA,3.67,10,15,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.434924,-79.777459,South,25.07,9/14/2018,257,103,3,2,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS015,MW006,2,0,0,0,2,1,2,NA,NA,NA,0.83,10,15,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.434924,-79.777459,South,25.07,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS015,MW006,3,0,0,0,0,0,1,NA,NA,NA,0.17,10,15,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.434924,-79.777459,South,25.07,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS015,MW006,4,2,0,1,3,2,2,NA,NA,NA,1.67,10,15,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.434924,-79.777459,South,25.07,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS015,MW006,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.434924,-79.777459,South,25.07,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS016,MW006,1,0,0,0,0,2,3,1,0,1,0.78,200,60,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.436081,-79.777321,South,25.01,9/14/2018,257,151,7,6,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS016,MW006,2,0,0,0,2,0,2,0,1,0,0.56,200,60,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.436081,-79.777321,South,25.01,9/14/2018,257,163,13,9,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS016,MW006,3,0,0,0,3,3,2,0,0,2,1.11,200,60,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.436081,-79.777321,South,25.01,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS016,MW006,4,4,0,2,0,0,1,NA,NA,NA,1.17,200,60,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.436081,-79.777321,South,25.01,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS016,MW006,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,60,N,"Scrub/Shrub
Developed, Medium Intensity",,NA,NA,7/10/2018,191,43.436081,-79.777321,South,25.01,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
