Year,Pop_ID,Patch_ID,Plant_Num,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018,City_dist,Transect_ID,Date,Height,Viable_Pods Produced,Aborted_Pods,Peduncles,Collected_pod_length,Other_pod_lengths,Collected_pod_width,Collected_pod_seed_number,Collected_pod_seed_weight,Notes
2019,AS025,MW012,5,43.534585,-79.645432,20,15,15.68,South,9/26/2019,153,5,0,4,8.2,"8.6,9,10,8,8",2.506,,,Plants >3m apart
2019,AS026,MW013,1,43.615384,-79.570454,6,15,9.89,South,9/19/2019,85,2,0,1,8.2,8,2.373,,,Plants <3 m apart
2019,AS026,MW013,2,43.615384,-79.570454,6,15,9.89,South,9/19/2019,114,6,0,4,9.4,"8,9.6,9.2,9,9.8",2.349,,,Plants <3 m apart
2019,AS026,MW013,3,43.615384,-79.570454,6,15,9.89,South,9/19/2019,93,8,0,4,9.2,"9.4,9,9,9,9,9,9",2.635,,,Plants <3 m apart
2019,AS026,MW013,4,43.615384,-79.570454,6,15,9.89,South,9/19/2019,112,2,1,3,9.6,9.4,3.068,,,Plants <3 m apart
2019,AS026,MW013,5,43.615384,-79.570454,6,15,9.89,South,9/19/2019,121,4,1,4,9.2,"10,9.4,10",2.794,,,Plants <3 m apart
2019,AS027,MW014,1,43.648581,-79.521463,4000,50,7.05,South,9/19/2019,96,4,0,3,7.6,"8.2,8,8.4",2.359,,,Plants >3m apart
2019,AS027,MW014,2,43.648581,-79.521463,4000,50,7.05,South,9/19/2019,101,6,0,3,7,"6.6,7,7,7,7",2.023,,,Plants >3m apart
2019,AS027,MW014,3,43.648581,-79.521463,4000,50,7.05,South,9/19/2019,100,4,0,4,12,"13,13,11.8",3.2,,,Plants >3m apart
2019,AS027,MW014,4,43.648581,-79.521463,4000,50,7.05,South,9/19/2019,102,4,0,4,11.8,"10.4,10.6,12.2",2.806,,,Plants >3m apart
2019,AS027,MW014,5,43.648581,-79.521463,4000,50,7.05,South,9/19/2019,95,2,0,4,11.8,11.6,2.054,,,Plants >3m apart
2019,AS028,MW015,1,43.661177,-79.500382,12,25,5.98,South,9/19/2019,96,13,0,4,7,"4,5.8,6.4,6,4.6,5.4,5.4,3.2,6,6,2.8,5",0.922,,,"Looks like pods were killed prematurely/growth stunted- very small, half-eaten/dead. Plants very late stage and <3m apart. No living leaf tissue left for P2 and P3; use pod"
2019,AS028,MW015,2,43.661177,-79.500382,12,25,5.98,South,9/19/2019,95,6,0,2,11.4,"10,10.8,11,11,10.4",2.351,,,"Looks like pods were killed prematurely/growth stunted- very small, half-eaten/dead. Plants very late stage and <3m apart. No living leaf tissue left for P2 and P3; use pod"
2019,AS028,MW015,3,43.661177,-79.500382,12,25,5.98,South,9/19/2019,81,1,0,1,9.2,NA,1.714,,,"Looks like pods were killed prematurely/growth stunted- very small, half-eaten/dead. Plants very late stage and <3m apart. No living leaf tissue left for P2 and P3; use pod"
